measurment_date,bag,ploidy,treatment,number,length_mm
6/25/2024,1,triploid,control,1,58
6/25/2024,1,triploid,control,2,30
6/25/2024,1,triploid,control,3,45
6/25/2024,1,triploid,control,4,45
6/25/2024,1,triploid,control,5,40
6/25/2024,1,triploid,control,6,44
6/25/2024,1,triploid,control,7,30
6/25/2024,1,triploid,control,8,35
6/25/2024,1,triploid,control,9,31
6/25/2024,1,triploid,control,10,29
6/25/2024,1,triploid,control,11,26
6/25/2024,1,triploid,control,12,33
6/25/2024,1,triploid,control,13,32
6/25/2024,1,triploid,control,14,52
6/25/2024,1,triploid,control,15,65
6/25/2024,1,triploid,control,16,39
6/25/2024,1,triploid,control,17,35
6/25/2024,1,triploid,control,18,28
6/25/2024,1,triploid,control,19,27
6/25/2024,1,triploid,control,20,31
6/25/2024,1,triploid,control,21,23
6/25/2024,1,triploid,control,22,42
6/25/2024,1,triploid,control,23,34
6/25/2024,1,triploid,control,24,41
6/25/2024,1,triploid,control,25,51
6/25/2024,1,triploid,control,26,56
6/25/2024,1,triploid,control,27,36
6/25/2024,1,triploid,control,28,34
6/25/2024,1,triploid,control,29,26
6/25/2024,1,triploid,control,30,24
6/25/2024,1,triploid,control,31,34
6/25/2024,1,triploid,control,32,32
6/25/2024,1,triploid,control,33,27
6/25/2024,1,triploid,control,34,35
6/25/2024,1,triploid,control,35,40
6/25/2024,1,triploid,control,36,36
6/25/2024,1,triploid,control,37,60
6/25/2024,1,triploid,control,38,54
6/25/2024,1,triploid,control,39,59
6/25/2024,1,triploid,control,40,31
6/25/2024,1,triploid,control,41,30
6/25/2024,1,triploid,control,42,30
6/25/2024,1,triploid,control,43,36
6/25/2024,1,triploid,control,44,37
6/25/2024,1,triploid,control,45,27
6/25/2024,1,triploid,control,46,35
6/25/2024,1,triploid,control,47,32
6/25/2024,1,triploid,control,48,37
6/25/2024,1,triploid,control,49,41
6/25/2024,1,triploid,control,50,37
6/25/2024,1,triploid,control,51,38
6/25/2024,1,triploid,control,52,31
6/25/2024,1,triploid,control,53,26
6/25/2024,1,triploid,control,54,42
6/25/2024,1,triploid,control,55,56
6/25/2024,1,triploid,control,56,45
6/25/2024,1,triploid,control,57,30
6/25/2024,1,triploid,control,58,30
6/25/2024,1,triploid,control,59,34
6/25/2024,1,triploid,control,60,28
6/25/2024,1,triploid,control,61,39
6/25/2024,1,triploid,control,62,39
6/25/2024,1,triploid,control,63,28
6/25/2024,1,triploid,control,64,35
6/25/2024,1,triploid,control,65,26
6/25/2024,1,triploid,control,66,27
6/25/2024,1,triploid,control,67,37
6/25/2024,1,triploid,control,68,41
6/25/2024,1,triploid,control,69,44
6/25/2024,1,triploid,control,70,37
6/25/2024,1,triploid,control,71,43
6/25/2024,1,triploid,control,72,48
6/25/2024,1,triploid,control,73,32
6/25/2024,1,triploid,control,74,35
6/25/2024,1,triploid,control,75,30
6/25/2024,1,triploid,control,76,29
6/25/2024,1,triploid,control,77,34
6/25/2024,1,triploid,control,78,43
6/25/2024,1,triploid,control,79,52
6/25/2024,1,triploid,control,80,36
